utc,date,time,direction,max_speed (Knots),gust (Knots),wind_speed (Knots)
2014-11-01T00:00:00,01/11/2014,02:00,135,11.9,34.4,7.4
2014-11-01T01:00:00,01/11/2014,03:00,67,11.5,34.4,7.8
2014-11-01T02:00:00,01/11/2014,04:00,45,11.5,34.4,6.7
2014-11-01T03:00:00,01/11/2014,05:00,135,9.9,34.4,6.5
2014-11-01T04:00:00,01/11/2014,06:00,90,9.1,34.4,6.3
2014-11-01T05:00:00,01/11/2014,07:00,90,9.7,34.4,7.4
2014-11-01T06:00:00,01/11/2014,08:00,90,9.5,34.4,6.4
2014-11-01T07:00:00,01/11/2014,09:00,112,11.1,34.4,6.3
2014-11-01T08:00:00,01/11/2014,10:00,135,9.7,34.4,6.9
2014-11-01T09:00:00,01/11/2014,11:00,180,15.2,34.4,8.2
2014-11-01T10:00:00,01/11/2014,12:00,157,16.1,34.4,12.1
2014-11-01T11:00:00,01/11/2014,13:00,157,16.1,34.4,13.1
2014-11-01T12:00:00,01/11/2014,14:00,157,18.3,34.4,14
2014-11-01T13:00:00,01/11/2014,15:00,157,15.4,34.4,10.3
2014-11-01T14:00:00,01/11/2014,16:00,157,17.7,34.4,12.4
2014-11-01T15:00:00,01/11/2014,17:00,135,16.5,34.4,12.1
2014-11-01T16:00:00,01/11/2014,18:00,157,17.3,34.4,11.3
2014-11-01T17:00:00,01/11/2014,19:00,157,12.8,34.4,10
2014-11-01T18:00:00,01/11/2014,20:00,135,15.2,34.4,8.1
2014-11-01T19:00:00,01/11/2014,21:00,90,10.3,34.4,9
2014-11-01T20:00:00,01/11/2014,22:00,67,10.9,34.4,9.3
2014-11-01T21:00:00,01/11/2014,23:00,90,12.2,34.4,10.4
2014-11-01T22:00:00,02/11/2014,00:00,90,13.4,34.4,10.3
2014-11-01T23:00:00,02/11/2014,01:00,90,12.4,34.4,10.3
2014-11-02T00:00:00,02/11/2014,02:00,45,13.6,34.4,9.4
2014-11-02T01:00:00,02/11/2014,03:00,90,11.3,34.4,7.2
2014-11-02T02:00:00,02/11/2014,04:00,135,11.5,34.4,8
2014-11-02T03:00:00,02/11/2014,05:00,90,10.3,34.4,8.5
2014-11-02T04:00:00,02/11/2014,06:00,90,10.5,34.4,8.6
2014-11-02T05:00:00,02/11/2014,07:00,112,9.1,34.4,7.3
2014-11-02T06:00:00,02/11/2014,08:00,90,9.3,34.4,5.7
2014-11-02T07:00:00,02/11/2014,09:00,90,10.3,34.4,5.9
2014-11-02T08:00:00,02/11/2014,10:00,157,12.4,34.4,7.8
2014-11-02T09:00:00,02/11/2014,11:00,90,14.8,34.4,11.6
2014-11-02T10:00:00,02/11/2014,12:00,90,16.1,34.4,12.4
2014-11-02T11:00:00,02/11/2014,13:00,90,17.3,34.4,14.2
2014-11-02T12:00:00,02/11/2014,14:00,90,15.6,34.4,13.2
2014-11-02T13:00:00,02/11/2014,15:00,90,17.7,34.4,12.1
2014-11-02T14:00:00,02/11/2014,16:00,90,17.3,34.4,13.8
2014-11-02T15:00:00,02/11/2014,17:00,67,16.9,34.4,12.1
2014-11-02T16:00:00,02/11/2014,18:00,90,16.9,34.4,13.1
2014-11-02T17:00:00,02/11/2014,19:00,90,16.7,34.4,14.2
2014-11-02T18:00:00,02/11/2014,20:00,90,14,34.4,11.2
2014-11-02T19:00:00,02/11/2014,21:00,90,12.6,19.2,9.9
2014-11-02T20:00:00,02/11/2014,22:00,90,11.7,19.2,9.4
2014-11-02T21:00:00,02/11/2014,23:00,90,8.6,19.2,6
2014-11-02T22:00:00,03/11/2014,00:00,337,11.5,19.2,3.9
2014-11-02T23:00:00,03/11/2014,01:00,315,4.7,19.2,2.2
2014-11-03T00:00:00,03/11/2014,02:00,337,2.5,19.2,0.5
2014-11-03T01:00:00,03/11/2014,03:00,135,4.1,19.2,2.4
2014-11-03T02:00:00,03/11/2014,04:00,180,6.2,19.2,3.7
2014-11-03T03:00:00,03/11/2014,05:00,202,6.6,19.2,2.2
2014-11-03T04:00:00,03/11/2014,06:00,45,6.4,19.2,2.2
2014-11-03T05:00:00,03/11/2014,07:00,202,4.9,19.2,2.6
2014-11-03T06:00:00,03/11/2014,08:00,292,8.2,8.6,3.6
2014-11-03T07:00:00,03/11/2014,09:00,0,5.8,7.6,3.1
2014-11-03T08:00:00,03/11/2014,10:00,22,3.7,3.7,1
2014-11-03T09:00:00,03/11/2014,11:00,292,6.2,6.4,2
2014-11-03T10:00:00,03/11/2014,12:00,315,8.6,11.1,6
2014-11-03T11:00:00,03/11/2014,13:00,315,12.1,14.8,8.6
2014-11-03T12:00:00,03/11/2014,14:00,337,11.3,18.3,9.1
2014-11-03T13:00:00,03/11/2014,15:00,157,13.8,13.4,5.9
2014-11-03T14:00:00,03/11/2014,16:00,90,7.6,8.6,2.9
2014-11-03T15:00:00,03/11/2014,17:00,315,9.7,13.6,5.3
2014-11-03T16:00:00,03/11/2014,18:00,315,8.4,10.9,5.2
2014-11-03T17:00:00,03/11/2014,19:00,337,7.8,11.5,5.9
2014-11-03T18:00:00,03/11/2014,20:00,292,6.8,9.5,5
2014-11-03T19:00:00,03/11/2014,21:00,337,8.6,10.7,6.5
2014-11-03T20:00:00,03/11/2014,22:00,315,7.6,9.1,4.4
2014-11-03T21:00:00,03/11/2014,23:00,0,7,7,4.4
2014-11-03T22:00:00,04/11/2014,00:00,315,6.8,7,4.2
2014-11-03T23:00:00,04/11/2014,01:00,337,7.6,7.4,4
2014-11-04T00:00:00,04/11/2014,02:00,337,5.2,7,3.5
2014-11-04T01:00:00,04/11/2014,03:00,337,7.8,8.9,3.9
2014-11-04T02:00:00,04/11/2014,04:00,337,7.4,10.9,4.6
2014-11-04T03:00:00,04/11/2014,05:00,315,6.6,7.6,4.3
2014-11-04T04:00:00,04/11/2014,06:00,247,10.3,7,3.4
2014-11-04T05:00:00,04/11/2014,07:00,202,4.3,6.6,2.5
2014-11-04T06:00:00,04/11/2014,08:00,45,4.3,5.2,2.2
2014-11-04T07:00:00,04/11/2014,09:00,247,4.1,4.9,1.6
2014-11-04T08:00:00,04/11/2014,10:00,292,5.6,5.4,3.4
2014-11-04T09:00:00,04/11/2014,11:00,292,8.2,9.5,4.9
