,date,time,temperature (C)
01/01/2014 00:00,01/01/2014,00:00,20.1
01/01/2014 01:00,01/01/2014,01:00,19.9
01/01/2014 02:00,01/01/2014,02:00,19.7
01/01/2014 03:00,01/01/2014,03:00,19.3
01/01/2014 04:00,01/01/2014,04:00,19
01/01/2014 05:00,01/01/2014,05:00,18.9
01/01/2014 06:00,01/01/2014,06:00,19.2
01/01/2014 07:00,01/01/2014,07:00,20.1
01/01/2014 08:00,01/01/2014,08:00,21.1
01/01/2014 09:00,01/01/2014,09:00,21.4
01/01/2014 10:00,01/01/2014,10:00,22.2
01/01/2014 11:00,01/01/2014,11:00,22.9
01/01/2014 12:00,01/01/2014,12:00,26.7
01/01/2014 13:00,01/01/2014,13:00,28.4
01/01/2014 14:00,01/01/2014,14:00,29.4
01/01/2014 15:00,01/01/2014,15:00,29.8
01/01/2014 16:00,01/01/2014,16:00,32.2
01/01/2014 17:00,01/01/2014,17:00,33.7
01/01/2014 18:00,01/01/2014,18:00,31.8
01/01/2014 19:00,01/01/2014,19:00,27.5
01/01/2014 20:00,01/01/2014,20:00,25.5
01/01/2014 21:00,01/01/2014,21:00,24.1
01/01/2014 22:00,01/01/2014,22:00,22.4
01/01/2014 23:00,01/01/2014,23:00,21.7
02/01/2014 00:00,02/01/2014,00:00,21.2
02/01/2014 01:00,02/01/2014,01:00,20.8
02/01/2014 02:00,02/01/2014,02:00,20.5
02/01/2014 03:00,02/01/2014,03:00,20.4
02/01/2014 04:00,02/01/2014,04:00,20
02/01/2014 05:00,02/01/2014,05:00,19.9
02/01/2014 06:00,02/01/2014,06:00,19.9
02/01/2014 07:00,02/01/2014,07:00,20.6
02/01/2014 08:00,02/01/2014,08:00,21.3
02/01/2014 09:00,02/01/2014,09:00,22.5
02/01/2014 10:00,02/01/2014,10:00,24
02/01/2014 11:00,02/01/2014,11:00,25.4
02/01/2014 12:00,02/01/2014,12:00,26.9
02/01/2014 13:00,02/01/2014,13:00,28.1
02/01/2014 14:00,02/01/2014,14:00,28.6
02/01/2014 15:00,02/01/2014,15:00,29.8
02/01/2014 16:00,02/01/2014,16:00,32.1
02/01/2014 17:00,02/01/2014,17:00,33.6
02/01/2014 18:00,02/01/2014,18:00,32.5
02/01/2014 19:00,02/01/2014,19:00,27.5
02/01/2014 20:00,02/01/2014,20:00,24.9
02/01/2014 21:00,02/01/2014,21:00,23.5
02/01/2014 22:00,02/01/2014,22:00,22.6
02/01/2014 23:00,02/01/2014,23:00,21.7
03/01/2014 00:00,03/01/2014,00:00,21.5
03/01/2014 01:00,03/01/2014,01:00,21.6
03/01/2014 02:00,03/01/2014,02:00,21.2
03/01/2014 03:00,03/01/2014,03:00,20.7
03/01/2014 04:00,03/01/2014,04:00,20.6
03/01/2014 05:00,03/01/2014,05:00,20.8
03/01/2014 06:00,03/01/2014,06:00,21.3
03/01/2014 07:00,03/01/2014,07:00,22.3
03/01/2014 08:00,03/01/2014,08:00,24.7
03/01/2014 09:00,03/01/2014,09:00,24.7
03/01/2014 10:00,03/01/2014,10:00,25.5
03/01/2014 11:00,03/01/2014,11:00,26
03/01/2014 12:00,03/01/2014,12:00,27
03/01/2014 13:00,03/01/2014,13:00,27.9
03/01/2014 14:00,03/01/2014,14:00,28.9
03/01/2014 15:00,03/01/2014,15:00,30.4
03/01/2014 16:00,03/01/2014,16:00,32.5
03/01/2014 17:00,03/01/2014,17:00,32.5
03/01/2014 18:00,03/01/2014,18:00,32.2
03/01/2014 19:00,03/01/2014,19:00,27.8
03/01/2014 20:00,03/01/2014,20:00,26.1
03/01/2014 21:00,03/01/2014,21:00,24.7
03/01/2014 22:00,03/01/2014,22:00,24.1
03/01/2014 23:00,03/01/2014,23:00,23.6
04/01/2014 00:00,04/01/2014,00:00,23.2
04/01/2014 01:00,04/01/2014,01:00,22.4
04/01/2014 02:00,04/01/2014,02:00,21.9
04/01/2014 03:00,04/01/2014,03:00,21.1
04/01/2014 04:00,04/01/2014,04:00,20.3
04/01/2014 05:00,04/01/2014,05:00,20.2
04/01/2014 06:00,04/01/2014,06:00,20.5
04/01/2014 07:00,04/01/2014,07:00,21.2
04/01/2014 08:00,04/01/2014,08:00,20.8
04/01/2014 09:00,04/01/2014,09:00,21.9
04/01/2014 10:00,04/01/2014,10:00,24.6
04/01/2014 11:00,04/01/2014,11:00,25.9
04/01/2014 12:00,04/01/2014,12:00,26.3
04/01/2014 13:00,04/01/2014,13:00,26.9
04/01/2014 14:00,04/01/2014,14:00,26.9
04/01/2014 15:00,04/01/2014,15:00,27.9
04/01/2014 16:00,04/01/2014,16:00,30.1
04/01/2014 17:00,04/01/2014,17:00,30.6
04/01/2014 18:00,04/01/2014,18:00,28.8
04/01/2014 19:00,04/01/2014,19:00,25.5
04/01/2014 20:00,04/01/2014,20:00,23.4
04/01/2014 21:00,04/01/2014,21:00,22.8
04/01/2014 22:00,04/01/2014,22:00,22.6
04/01/2014 23:00,04/01/2014,23:00,21.9
05/01/2014 00:00,05/01/2014,00:00,21.1
05/01/2014 01:00,05/01/2014,01:00,21.2
05/01/2014 02:00,05/01/2014,02:00,21
05/01/2014 03:00,05/01/2014,03:00,20.5
05/01/2014 04:00,05/01/2014,04:00,20.6
05/01/2014 05:00,05/01/2014,05:00,20.7
05/01/2014 06:00,05/01/2014,06:00,20.6
05/01/2014 07:00,05/01/2014,07:00,21.9
05/01/2014 08:00,05/01/2014,08:00,22.6
05/01/2014 09:00,05/01/2014,09:00,24.7
05/01/2014 10:00,05/01/2014,10:00,26.5
05/01/2014 11:00,05/01/2014,11:00,27.3
05/01/2014 12:00,05/01/2014,12:00,27.7
05/01/2014 13:00,05/01/2014,13:00,28
05/01/2014 14:00,05/01/2014,14:00,23.4
05/01/2014 15:00,05/01/2014,15:00,20.6
05/01/2014 16:00,05/01/2014,16:00,23.2
05/01/2014 17:00,05/01/2014,17:00,22.2
05/01/2014 18:00,05/01/2014,18:00,21
05/01/2014 19:00,05/01/2014,19:00,20.4
05/01/2014 20:00,05/01/2014,20:00,20
05/01/2014 21:00,05/01/2014,21:00,19.8
05/01/2014 22:00,05/01/2014,22:00,19.7
05/01/2014 23:00,05/01/2014,23:00,19.7
06/01/2014 00:00,06/01/2014,00:00,19.2
06/01/2014 01:00,06/01/2014,01:00,18.9
06/01/2014 02:00,06/01/2014,02:00,18.8
06/01/2014 03:00,06/01/2014,03:00,17.9
06/01/2014 04:00,06/01/2014,04:00,17.9
06/01/2014 05:00,06/01/2014,05:00,17.8
06/01/2014 06:00,06/01/2014,06:00,18.2
06/01/2014 07:00,06/01/2014,07:00,19.1
06/01/2014 08:00,06/01/2014,08:00,19.5
06/01/2014 09:00,06/01/2014,09:00,19.2
06/01/2014 10:00,06/01/2014,10:00,19.3
06/01/2014 11:00,06/01/2014,11:00,22
06/01/2014 12:00,06/01/2014,12:00,24.2
06/01/2014 13:00,06/01/2014,13:00,24.9
06/01/2014 14:00,06/01/2014,14:00,24.8
06/01/2014 15:00,06/01/2014,15:00,20.4
06/01/2014 16:00,06/01/2014,16:00,20.1
06/01/2014 17:00,06/01/2014,17:00,20.1
06/01/2014 18:00,06/01/2014,18:00,18.9
06/01/2014 19:00,06/01/2014,19:00,18.5
06/01/2014 20:00,06/01/2014,20:00,18.2
06/01/2014 21:00,06/01/2014,21:00,18
06/01/2014 22:00,06/01/2014,22:00,17.8
06/01/2014 23:00,06/01/2014,23:00,17.6
07/01/2014 00:00,07/01/2014,00:00,17.3
07/01/2014 01:00,07/01/2014,01:00,17.1
07/01/2014 02:00,07/01/2014,02:00,17.1
07/01/2014 03:00,07/01/2014,03:00,17.2
07/01/2014 04:00,07/01/2014,04:00,17.2
07/01/2014 05:00,07/01/2014,05:00,17
07/01/2014 06:00,07/01/2014,06:00,17.1
07/01/2014 07:00,07/01/2014,07:00,17.4
07/01/2014 08:00,07/01/2014,08:00,18.4
07/01/2014 09:00,07/01/2014,09:00,18.9
07/01/2014 10:00,07/01/2014,10:00,19.3
07/01/2014 11:00,07/01/2014,11:00,20
07/01/2014 12:00,07/01/2014,12:00,22
07/01/2014 13:00,07/01/2014,13:00,23.7
07/01/2014 14:00,07/01/2014,14:00,23.9
07/01/2014 15:00,07/01/2014,15:00,24.4
07/01/2014 16:00,07/01/2014,16:00,22.9
07/01/2014 17:00,07/01/2014,17:00,22.4
07/01/2014 18:00,07/01/2014,18:00,20.5
07/01/2014 19:00,07/01/2014,19:00,19.6
07/01/2014 20:00,07/01/2014,20:00,18.8
07/01/2014 21:00,07/01/2014,21:00,18.5
07/01/2014 22:00,07/01/2014,22:00,18
07/01/2014 23:00,07/01/2014,23:00,18.2
08/01/2014 00:00,08/01/2014,00:00,18.4
08/01/2014 01:00,08/01/2014,01:00,18.4
08/01/2014 02:00,08/01/2014,02:00,18.2
08/01/2014 03:00,08/01/2014,03:00,18.4
08/01/2014 04:00,08/01/2014,04:00,18.4
08/01/2014 05:00,08/01/2014,05:00,18.5
08/01/2014 06:00,08/01/2014,06:00,18.5
08/01/2014 07:00,08/01/2014,07:00,18.6
08/01/2014 08:00,08/01/2014,08:00,19.2
08/01/2014 09:00,08/01/2014,09:00,19.7
08/01/2014 10:00,08/01/2014,10:00,22.1
08/01/2014 11:00,08/01/2014,11:00,23.4
08/01/2014 12:00,08/01/2014,12:00,25.3
08/01/2014 13:00,08/01/2014,13:00,26.1
08/01/2014 14:00,08/01/2014,14:00,26.5
08/01/2014 15:00,08/01/2014,15:00,27.1
08/01/2014 16:00,08/01/2014,16:00,26.4
08/01/2014 17:00,08/01/2014,17:00,26.7
08/01/2014 18:00,08/01/2014,18:00,25.7
08/01/2014 19:00,08/01/2014,19:00,23.5
08/01/2014 20:00,08/01/2014,20:00,21.3
08/01/2014 21:00,08/01/2014,21:00,20.6
08/01/2014 22:00,08/01/2014,22:00,19.8
08/01/2014 23:00,08/01/2014,23:00,19.4
09/01/2014 00:00,09/01/2014,00:00,19
09/01/2014 01:00,09/01/2014,01:00,18.5
09/01/2014 02:00,09/01/2014,02:00,18.5
09/01/2014 03:00,09/01/2014,03:00,18.1
09/01/2014 04:00,09/01/2014,04:00,17.7
09/01/2014 05:00,09/01/2014,05:00,17.6
09/01/2014 06:00,09/01/2014,06:00,18.1
09/01/2014 07:00,09/01/2014,07:00,19.5
09/01/2014 08:00,09/01/2014,08:00,20.7
09/01/2014 09:00,09/01/2014,09:00,21.3
09/01/2014 10:00,09/01/2014,10:00,22.7
09/01/2014 11:00,09/01/2014,11:00,23.2
09/01/2014 12:00,09/01/2014,12:00,23.3
09/01/2014 13:00,09/01/2014,13:00,23.3
09/01/2014 14:00,09/01/2014,14:00,24.6
09/01/2014 15:00,09/01/2014,15:00,25.9
09/01/2014 16:00,09/01/2014,16:00,28.8
09/01/2014 17:00,09/01/2014,17:00,27.8
09/01/2014 18:00,09/01/2014,18:00,24.3
09/01/2014 19:00,09/01/2014,19:00,22
09/01/2014 20:00,09/01/2014,20:00,20.6
09/01/2014 21:00,09/01/2014,21:00,20.3
09/01/2014 22:00,09/01/2014,22:00,19.5
09/01/2014 23:00,09/01/2014,23:00,18.8
10/01/2014 00:00,10/01/2014,00:00,18.8
10/01/2014 01:00,10/01/2014,01:00,18.6
10/01/2014 02:00,10/01/2014,02:00,18.1
10/01/2014 03:00,10/01/2014,03:00,17.1
10/01/2014 04:00,10/01/2014,04:00,16.8
10/01/2014 05:00,10/01/2014,05:00,16.5
10/01/2014 06:00,10/01/2014,06:00,16.6
10/01/2014 07:00,10/01/2014,07:00,17.5
10/01/2014 08:00,10/01/2014,08:00,19.2
10/01/2014 09:00,10/01/2014,09:00,21.5
10/01/2014 10:00,10/01/2014,10:00,22.1
10/01/2014 11:00,10/01/2014,11:00,23.9
10/01/2014 12:00,10/01/2014,12:00,25.2
10/01/2014 13:00,10/01/2014,13:00,25.4
10/01/2014 14:00,10/01/2014,14:00,26.2
10/01/2014 15:00,10/01/2014,15:00,27.7
10/01/2014 16:00,10/01/2014,16:00,29.9
10/01/2014 17:00,10/01/2014,17:00,30.5
10/01/2014 18:00,10/01/2014,18:00,30
10/01/2014 19:00,10/01/2014,19:00,25.5
10/01/2014 20:00,10/01/2014,20:00,21.7
10/01/2014 21:00,10/01/2014,21:00,20.7
10/01/2014 22:00,10/01/2014,22:00,19.4
10/01/2014 23:00,10/01/2014,23:00,18.7
11/01/2014 00:00,11/01/2014,00:00,17.9
11/01/2014 01:00,11/01/2014,01:00,17.5
11/01/2014 02:00,11/01/2014,02:00,17.2
11/01/2014 03:00,11/01/2014,03:00,16.8
11/01/2014 04:00,11/01/2014,04:00,16.5
11/01/2014 05:00,11/01/2014,05:00,16.4
